,strain,type,rating,effects,taste
1762,Sage N Sour,sativa,4.2,"Energetic,Happy,Uplifted,Euphoric,Relaxed","Sage,Earthy,Spicy/Herbal"
1763,Salmon River Og,indica,4.4,"Relaxed,Happy,Uplifted,Aroused,Sleepy","Pungent,Spicy/Herbal,Woody"
1764,Santa Maria,sativa,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Earthy,Sweet,Woody"
1765,Santa Sativa,sativa,4.3,"Sleepy,Happy,Hungry,Relaxed,Aroused","Blueberry,Berry,Flowery"
1766,Sapphire Scout,hybrid,4.6,"Euphoric,Happy,Relaxed,Sleepy,Uplifted","Sweet,Berry,Blueberry"
1767,Sapphire Star,hybrid,4.5,"Uplifted,Focused,Happy,Euphoric,Relaxed","Grapefruit,Lemon,Sweet"
1768,Sasquatch Sap,hybrid,4.8,"Creative,Relaxed,Uplifted,Euphoric,Focused","Diesel,Coffee,Earthy"
1769,Satellite Og,indica,4.9,"Relaxed,Euphoric,Uplifted,Focused,Hungry","Earthy,Woody,Pungent"
1770,Satori,hybrid,4.1,"Creative,Euphoric,Uplifted,Happy,Energetic","Mango,Earthy,Pine"
1771,Saturn Og,hybrid,4.5,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Earthy,Sweet,Pungent"
1772,Savage Citrus Sunshine,hybrid,4.5,"Sleepy,Aroused,Talkative,Tingly,Uplifted","Citrus,Grapefruit,Earthy"
1773,Savants Grail,hybrid,4.8,"Aroused,Tingly,Uplifted,Euphoric,Focused","Sweet,Flowery,Earthy"
1774,Schrom,sativa,4.3,"Happy,Uplifted,Creative,Euphoric,Aroused","Lemon,Citrus,Lime"
1775,Scooby Snack,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Sleepy","Earthy,Pungent,Woody"
1776,Scotts Og,hybrid,4.6,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Lemon,Pine,Woody"
1777,Scouts Honor,hybrid,5,"Relaxed,Creative,Giggly,Talkative,Uplifted","Sweet,Tropical,Flowery"
1778,Scroopy Noopers,hybrid,5,"Euphoric,Hungry,Relaxed",None
1779,Seattle Blue,indica,4.5,"Euphoric,Relaxed,Uplifted,Happy,Hungry","Sweet,Blueberry,Pungent"
1780,Seattle Cough,sativa,4.7,"Happy,Uplifted,Energetic,Relaxed,Creative","Pine,Citrus,Grapefruit"
1781,Seattlesoda,hybrid,None,None,None
1782,Secret Garden Og,indica,5,"Euphoric,Talkative,Uplifted,Creative,Energetic","Flowery,Lavender,Honey"
1783,Secret Recipe,hybrid,4.3,"Relaxed,Happy,Uplifted,Giggly,Euphoric","Sweet,Earthy,Pine"
1784,Sensi Skunk,indica,4.4,"Relaxed,Happy,Hungry,Creative,Euphoric","Earthy,Skunk,Citrus"
1785,Sensi Star,indica,4.1,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Pungent,Sweet"
1786,Sequoia Strawberry,sativa,4.4,"Uplifted,Relaxed,Energetic,Euphoric,Focused","Strawberry,Sweet,Pine"
1787,Serious 6,sativa,3.8,"Relaxed,Sleepy,Hungry,Aroused,Uplifted","Spicy/Herbal,Citrus,Lemon"
1788,Serious Happiness,hybrid,4.4,"Euphoric,Happy,Relaxed,Energetic,Talkative","Spicy/Herbal,Pepper,Sweet"
1789,Sexxpot,indica,4.1,"Uplifted,Happy,Aroused,Tingly,Creative","Pungent,Tropical,Flowery"
1790,Shaman,sativa,4.2,"Uplifted,Focused,Happy,Energetic,Euphoric","Sweet,Lemon,Flowery"
1791,Shangri La,hybrid,4.7,"Euphoric,Relaxed,Uplifted,Happy,Energetic","Earthy,Pungent,Lemon"
1792,Shark Attack,indica,4.2,"Relaxed,Tingly,Happy,Focused,Hungry","Earthy,Pungent,Skunk"
1793,Shark Bite,hybrid,4.1,"Uplifted,Energetic,Euphoric,Relaxed,Aroused","Tropical,Pungent,Sweet"
1794,Shark Shock,indica,4.2,"Relaxed,Euphoric,Focused,Happy,Tingly","Earthy,Woody,Spicy/Herbal"
1795,Sharks Breath,hybrid,4.4,"Relaxed,Happy,Euphoric,Focused,Uplifted","Pungent,Sweet,Earthy"
1796,Shiatsu Kush,hybrid,4.4,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Sweet,Tropical,Mango"
1797,Shipwreck,sativa,4.5,"Happy,Euphoric,Relaxed,Creative,Energetic","Sweet,Pine,Earthy"
1798,Shishkaberry,indica,4.3,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Berry,Blueberry,Sweet"
1799,Shiskaquine,hybrid,4.6,"Relaxed,Uplifted,Focused,Energetic,Euphoric","Sweet,Earthy,Berry"
1800,Shiva Skunk,indica,4.2,"Euphoric,Relaxed,Uplifted,Happy,Tingly","Skunk,Earthy,Pine"
1801,Shoreline,hybrid,4.4,"Happy,Relaxed,Euphoric,Giggly,Hungry","Skunk,Spicy/Herbal,Sweet"
1802,Shurman 7,hybrid,4.7,"Relaxed,Sleepy,Euphoric","Earthy,Sweet,Pine"
1803,Silver Back,hybrid,4,"Euphoric,Aroused,Talkative,Uplifted,Happy","Citrus,Tropical,Earthy"
1804,Silver Bubble,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Woody,Berry"
1805,Silver Calyx,hybrid,5,"Aroused,Energetic,Euphoric,Focused,Relaxed","Lemon,Tree,Fruit,Pine"
1806,Silver Cindy,hybrid,5,"Aroused,Uplifted,Energetic,Euphoric,Happy",None
1807,Silver Haze,sativa,4.2,"Happy,Euphoric,Relaxed,Talkative,Uplifted","Earthy,Sweet,Pungent"
1808,Silver Kush,sativa,4.4,"Happy,Relaxed,Giggly,Uplifted,Focused","Earthy,Chemical,Citrus"
1809,Silver Nina,hybrid,5,"Creative,Energetic,Focused,Happy,Aroused",None
1810,Silver Pearl,hybrid,4.3,"Creative,Uplifted,Happy,Energetic,Euphoric","Skunk,Pine,Mango"
1811,Silver Surfer,hybrid,4.3,"Happy,Euphoric,Tingly,Relaxed,Giggly","Citrus,Lime,Lemon"
1812,Silver Train,sativa,4.7,"Focused,Euphoric,Energetic,Relaxed,Aroused","Pine,Lemon,Spicy/Herbal"
1813,Silverback Gorilla,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Tingly","Earthy,Pine,Sweet"
1814,Silverfalls Kush,hybrid,4.8,"Relaxed,Euphoric,Giggly,Happy,Hungry","Sweet,Spicy/Herbal,Strawberry"
1815,Silverhawks Og,sativa,5,"Euphoric,Relaxed,Uplifted,Creative,Happy","Lime,Citrus,Flowery"
1816,Sin City Kush,indica,4.9,"Relaxed,Euphoric,Uplifted,Giggly,Happy","Grape,Pine,Nutty"
1817,Sin Valley Og,hybrid,4.5,"Sleepy,Relaxed,Focused,Euphoric,Happy","Citrus,Earthy,Lemon"
1818,Sinmint Cookies,hybrid,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Minty,Menthol,Woody"
1819,Sinai,sativa,4.8,"Euphoric,Uplifted,Relaxed,Talkative,Happy","Menthol,Spicy/Herbal,Pepper"
1820,Sirius Black,indica,4.6,"Happy,Euphoric,Relaxed,Creative,Uplifted","Grape,Sweet,Pepper"
1821,Six Shooter,hybrid,4.6,"Creative,Euphoric,Happy,Uplifted,Focused","Sweet,Skunk,Citrus"
1822,Skins Skunk,hybrid,5,"Euphoric,Happy,Relaxed,Sleepy,Uplifted","Lemon,Sweet,Strawberry"
1823,Skunk 47,indica,4.3,"Relaxed,Sleepy,Happy,Uplifted,Hungry","Earthy,Skunk,Berry"
1824,Skunk Dawg,sativa,4.4,"Happy,Uplifted,Relaxed,Focused,Creative","Skunk,Pungent,Earthy"
1825,Skunk Haze,hybrid,4.1,"Relaxed,Happy,Focused,Giggly,Euphoric","Earthy,Woody,Skunk"
1826,Skunk 1,hybrid,4.1,"Euphoric,Creative,Relaxed,Happy,Hungry","Skunk,Earthy,Pungent"
1827,Skunkberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Skunk,Berry,Blueberry"
1828,Skunky Diesel,hybrid,4.2,"Happy,Uplifted,Energetic,Relaxed,Sleepy","Skunk,Diesel,Earthy"
1829,Sky Master,sativa,None,None,None
1830,Skydog,indica,4.5,"Focused,Happy,Relaxed,Uplifted,Euphoric","Pungent,Skunk,Spicy/Herbal"
1831,Skywalker,indica,4.3,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Sweet,Citrus"
1832,Skywalker Alien,hybrid,3.8,"Happy,Giggly,Relaxed,Euphoric,Hungry","Chemical,Sweet,Citrus"
1833,Skywalker Og,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy,Pungent,Sweet"
1834,Slazerbeam,sativa,4.6,"Uplifted,Energetic,Happy,Talkative,Creative","Woody,Earthy,Sweet"
1835,Sleeskunk,sativa,4.2,"Creative,Euphoric,Tingly,Uplifted,Energetic","Skunk,Pine,Pungent"
1836,Sleestack,sativa,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Skunk,Lemon"
1837,Slimer Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Earthy,Pungent,Sweet"
1838,Smelliot,hybrid,5,"Uplifted,Happy,Creative,Euphoric,Focused","Citrus,Ammonia,Sweet"
1839,Smooth Operator,hybrid,4,"Talkative,Uplifted,Energetic,Happy","Flowery,Earthy,Pungent"
1840,Snoop Dogg Og,indica,4.6,"Euphoric,Relaxed,Happy,Sleepy,Hungry","Ammonia,Lemon,Earthy"
1841,Snoop S Dream,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Blueberry,Earthy,Sweet"
1842,Snow Bud,hybrid,4.6,"Uplifted,Happy,Relaxed,Euphoric,Sleepy","Earthy,Chemical,Skunk"
1843,Snow Diesel,hybrid,3.4,"Focused,Energetic,Uplifted,Euphoric,Happy","Diesel,Woody,Sweet"
1844,Snow Leopard,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Tea,Woody"
1845,Snow Lotus,hybrid,4.6,"Euphoric,Happy,Uplifted,Focused,Giggly","Chemical,Woody,Diesel"
1846,Snow Monster,indica,4.3,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Earthy,Sweet,Skunk"
1847,Snow Mountain,indica,4,"Uplifted,Relaxed",Flowery
1848,Snow Ryder,indica,4,"Aroused,Sleepy,Uplifted,Relaxed","Minty,Pepper,Earthy"
1849,Snow White,hybrid,4.3,"Relaxed,Euphoric,Hungry,Happy,Talkative","Citrus,Earthy,Woody"
1850,Snowland,hybrid,4.5,"Relaxed,Sleepy,Talkative,Creative,Focused","Earthy,Lemon,Flowery"
1851,Snowcap,hybrid,4.1,"Happy,Euphoric,Uplifted,Focused,Creative","Lemon,Citrus,Pungent"
1852,Sojay Haze,sativa,4.8,"Uplifted,Euphoric,Talkative,Relaxed,Hungry","Citrus,Spicy/Herbal,Sweet"
1853,Somango,indica,4.3,"Relaxed,Hungry,Focused,Sleepy,Euphoric","Mango,Sweet,Flowery"
1854,Sonic Screwdriver,sativa,4.5,"Happy,Euphoric,Giggly,Uplifted,Energetic","Earthy,Citrus,Woody"
1855,Sonoma Coma,sativa,4.5,"Euphoric,Uplifted,Happy,Focused,Talkative","Citrus,Tropical,Spicy/Herbal"
1856,Sorcerers Apprentice,hybrid,5,"Tingly,Focused,Aroused,Uplifted,Energetic","Sweet,Tropical"
1857,Soul Assassin Og,hybrid,4.5,"Relaxed,Euphoric,Happy,Focused,Sleepy","Diesel,Lemon,Pungent"
1858,Soulshine Aloha,indica,None,"Tingly,Uplifted,Euphoric,Focused,Happy",None
1859,Sour Alien,hybrid,4.3,"Relaxed,Creative,Giggly,Happy,Uplifted","Diesel,Lemon,Pungent"
1860,Sour Amnesia,sativa,4.6,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Sweet,Diesel,Earthy"
1861,Sour Ape,indica,4.2,"Relaxed,Giggly,Hungry,Energetic,Happy","Skunk,Citrus,Diesel"
1862,Sour Apple,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Apple,Sweet,Pungent"
1863,Sour Banana Sherbet,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Diesel,Tree,Fruit"
1864,Sour Breath,sativa,4,"Creative,Energetic,Focused,Happy,Uplifted","Diesel,Apricot,Pine"
1865,Sour Bubba,indica,4.5,"Happy,Euphoric,Uplifted,Relaxed,Sleepy","Earthy,Diesel,Flowery"
1866,Sour Bubble,indica,4.6,"Relaxed,Happy,Uplifted,Creative,Giggly","Sweet,Pungent,Earthy"
1867,Sour Candy,hybrid,4.5,"Happy,Creative,Focused,Uplifted,Energetic","Diesel,Earthy,Sweet"
1868,Sour Chees,hybrid,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Cheese,Pungent,Lime"
1869,Sour Cherry Sherbert,hybrid,None,None,None
1870,Sour Chocolate,sativa,3.9,"Uplifted,Sleepy,Creative,Happy,Talkative","Diesel,Sweet,Earthy"
1871,Sour Chunk,hybrid,4.3,"Relaxed,Creative,Uplifted,Euphoric,Hungry","Sweet,Lime,Earthy"
1872,Sour Cookies,hybrid,4.4,"Relaxed,Happy,Talkative,Euphoric,Uplifted","Diesel,Sweet,Earthy"
1873,Sour Cream,hybrid,4.3,"Happy,Relaxed,Euphoric,Focused,Uplifted","Diesel,Earthy,Sweet"
1874,Sour Diesel,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Diesel,Pungent,Earthy"
1875,Sour Dream,hybrid,4.4,"Happy,Euphoric,Creative,Tingly,Uplifted","Diesel,Earthy,Blueberry"
1876,Sour Dubble,hybrid,4.9,"Talkative,Happy,Relaxed,Creative,Uplifted","Diesel,Pungent,Flowery"
1877,Sour Flower,sativa,4.3,"Energetic,Happy,Aroused,Uplifted,Focused","Berry,Earthy,Pine"
1878,Sour Grape,hybrid,4.2,"Relaxed,Happy,Uplifted,Hungry,Energetic","Grape,Sweet,Berry"
1879,Sour Haze,sativa,4.5,"Uplifted,Euphoric,Happy,Creative,Relaxed","Citrus,Lemon,Pungent"
1880,Sour Headband,hybrid,4.4,"Focused,Uplifted,Euphoric,Happy,Energetic","Diesel,Pungent,Skunk"
1881,Sour Jack,sativa,4.5,"Energetic,Creative,Happy,Uplifted,Euphoric","Citrus,Sweet,Tropical"
1882,Sour Jilly,hybrid,4.8,"Happy,Euphoric,Energetic,Uplifted,Talkative","Berry,Sweet,Citrus"
1883,Sour Joker,sativa,4.7,"Uplifted,Energetic,Creative,Happy,Focused","Earthy,Pungent,Tree,Fruit"
1884,Sour Kush,hybrid,4.3,"Relaxed,Happy,Uplifted,Energetic,Euphoric","Earthy,Pungent,Diesel"
1885,Sour Lsd,hybrid,4.3,"Happy,Energetic,Uplifted,Focused,Euphoric","Citrus,Pungent,Earthy"
1886,Sour Lemon Og,hybrid,4.6,"Talkative,Energetic,Happy,Relaxed,Focused","Lemon,Citrus,Earthy"
1887,Sour Maui,sativa,4.7,"Uplifted,Energetic,Happy,Euphoric,Creative","Citrus,Nutty,Earthy"
1888,Sour Og,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Pungent,Pine"
1889,Sour Patch Kiss,hybrid,4.7,"Uplifted,Happy,Relaxed,Creative,Talkative","Citrus,Earthy,Flowery"
1890,Sour Pebbles,sativa,4.6,"Happy,Creative,Uplifted,Focused,Energetic","Sweet,Citrus,Berry"
1891,Sour Poison,sativa,4.6,"Uplifted,Happy,Talkative,Giggly,Relaxed","Citrus,Earthy,Pine"
1892,Sour Power,hybrid,4.7,"Happy,Euphoric,Energetic,Talkative,Hungry","Diesel,Skunk,Pungent"
1893,Sour Spyder,indica,5,"Aroused,Tingly,Energetic,Euphoric,Happy","Ammonia,Citrus,Coffee"
1894,Sour Star Head,sativa,5,"Uplifted,Happy,Talkative,Energetic,Euphoric","Citrus,Sweet,Spicy/Herbal"
1895,Sour Strawberry Diesel,hybrid,4.6,"Happy,Creative,Relaxed,Euphoric,Uplifted","Strawberry,Sweet,Diesel"
1896,Sour Sunset,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Sweet,Diesel,Citrus"
1897,Sour Tangie,sativa,4.6,"Happy,Uplifted,Euphoric,Energetic,Focused","Citrus,Diesel,Orange"
1898,Sour Tsunami,hybrid,4.4,"Relaxed,Creative,Focused,Euphoric,Happy","Citrus,Diesel,Sweet"
1899,Sour Urkle,hybrid,4.6,"Relaxed,Happy,Uplifted,Focused,Hungry","Earthy,Diesel,Flowery"
1900,Sour Willie,sativa,4.5,"Tingly,Happy,Sleepy,Uplifted,Hungry","Pungent,Diesel,Sweet"
1901,Sourlope,sativa,4.6,"Happy,Focused,Relaxed,Uplifted,Creative","Sweet,Tropical,Pungent"
1902,South American,sativa,4,"Hungry,Happy,Relaxed,Sleepy,Energetic","Earthy,Mango,Tropical"
1903,South Asian,indica,4,"Sleepy,Talkative,Uplifted,Euphoric,Giggly",Sweet
1904,South Asian Sativa,sativa,None,None,None
1905,South Central La,indica,4.8,"Uplifted,Euphoric,Focused,Hungry,Relaxed","Sweet,Berry,Blueberry"
1906,South Indian,sativa,4.3,"Euphoric,Relaxed,Energetic,Hungry,Happy","Skunk,Mango,Sweet"
1907,Southern Lights,sativa,3.5,"Aroused,Uplifted,Creative,Euphoric,Happy",Lemon
1908,Space Bomb,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Flowery,Berry"
1909,Space Candy,hybrid,4.6,"Uplifted,Relaxed,Happy,Focused,Euphoric","Earthy,Sweet,Pungent"
1910,Space Cream,hybrid,4.8,"Relaxed,Uplifted,Euphoric,Happy,Energetic","Sweet,Citrus,Pine"
1911,Space Dawg,indica,4.2,"Relaxed,Uplifted,Euphoric,Talkative,Giggly","Sweet,Earthy,Berry"
1912,Space Monster,indica,4.3,"Relaxed,Tingly,Sleepy,Uplifted,Creative","Ammonia,Diesel,Spicy/Herbal"
1913,Space Needle,sativa,3.7,"Uplifted,Euphoric,Happy,Hungry,Relaxed","Pungent,Pine,Flowery"
1914,Space Queen,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Focused","Earthy,Sweet,Flowery"
1915,Special K,hybrid,4.5,"Happy,Uplifted,Euphoric,Relaxed,Creative","Sweet,Citrus,Earthy"
1916,Special Kush 1,indica,4.6,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Earthy,Sweet,Pungent"
1917,Spirit Of 76,hybrid,4.6,"Relaxed,Uplifted,Happy,Talkative,Euphoric","Pine,Woody,Flowery"
1918,Spliffs Strawberry,sativa,4.6,"Talkative,Creative,Energetic,Euphoric,Focused","Sweet,Berry,Strawberry"
1919,Spoetnik 1,indica,5,"Focused,Sleepy,Creative,Energetic,Euphoric","Flowery,Lavender,Rose"
1920,Sputnik,sativa,4.5,"Happy,Relaxed,Energetic,Tingly,Euphoric","Sweet,Flowery,Tea"
1921,Spyder Mon,hybrid,5,"Uplifted,Creative,Focused,Happy,Relaxed","Citrus,Earthy,Sweet"
1922,Star 47,hybrid,4.3,"Happy,Euphoric,Sleepy,Giggly,Relaxed","Earthy,Spicy/Herbal,Berry"
1923,Star Berry,indica,4.6,"Relaxed,Uplifted,Happy,Euphoric,Energetic","Berry,Citrus,Sweet"
1924,Star Killer,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Lemon,Pungent"
1925,Star Master Kush,indica,4.7,"Relaxed,Uplifted,Focused,Happy,Sleepy","Skunk,Pine,Earthy"
1926,Star Tonic,hybrid,4.7,"Relaxed,Focused,Uplifted,Happy,Euphoric","Citrus,Sweet,Lemon"
1927,Starbud,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Pine,Menthol"
1928,Stardawg,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Diesel,Pungent,Earthy"
1929,Stardawg 91,indica,5,"Sleepy,Euphoric,Happy,Relaxed","Diesel,Pepper,Earthy"
1930,Stardawg Guava,sativa,4.6,"Relaxed,Happy,Uplifted,Energetic,Creative","Tropical,Sweet,Pungent"
1931,Starfighter,hybrid,4.1,"Euphoric,Relaxed,Happy,Uplifted,Creative","Pine,Pungent,Woody"
1932,Stella Blue,sativa,4.6,"Energetic,Happy,Uplifted,Focused,Talkative","Sweet,Flowery,Berry"
1933,Stephen Hawking Kush,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Tingly","Earthy,Woody,Berry"
1934,Stevie Wonder,hybrid,4.6,"Happy,Hungry,Uplifted,Focused,Tingly","Earthy,Pine,Orange"
1935,Straight As Haze,sativa,5,"Energetic,Euphoric,Happy,Talkative,Giggly","Sweet,Citrus,Spicy/Herbal"
1936,Strawberry,sativa,4.4,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Strawberry,Sweet,Flowery"
1937,Strawberry Alien Kush,hybrid,4,Relaxed,Strawberry
1938,Strawberry Amnesia,sativa,4.5,"Creative,Relaxed,Uplifted,Euphoric,Energetic","Strawberry,Sweet,Earthy"
1939,Strawberry Banana,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Creative","Strawberry,Sweet,Berry"
1940,Strawberry Blondie,hybrid,4.9,"Euphoric,Happy,Uplifted,Relaxed,Creative","Strawberry,Sweet,Earthy"
1941,Strawberry Blue,sativa,4.2,"Relaxed,Happy,Uplifted,Energetic,Euphoric","Strawberry,Sweet,Berry"
1942,Strawberry Cheesecake,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Strawberry,Sweet,Cheese"
1943,Strawberry Cough,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Strawberry,Sweet,Berry"
1944,Strawberry Diesel,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Strawberry,Sweet"
1945,Strawberry Dream,hybrid,4.4,"Uplifted,Euphoric,Happy,Energetic,Creative","Strawberry,Sweet,Berry"
1946,Strawberry Durban Diesel,sativa,4.4,"Uplifted,Creative,Focused,Talkative,Aroused","Strawberry,Earthy,Diesel"
1947,Strawberry Fields,indica,4.6,"Relaxed,Happy,Uplifted,Hungry,Euphoric","Strawberry,Sweet,Berry"
1948,Strawberry Frost,indica,5,"Happy,Aroused,Relaxed,Giggly,Hungry","Sweet,Strawberry,Earthy"
1949,Strawberry Ice,sativa,4.8,"Focused,Energetic,Euphoric,Happy,Creative","Strawberry,Sweet,Berry"
1950,Strawberry Kush,hybrid,4.2,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Strawberry,Sweet,Pungent"
1951,Strawberry Lemonade,sativa,4.3,"Happy,Relaxed,Euphoric,Uplifted,Energetic","Strawberry,Lemon,Berry"
1952,Strawberry Mango Haze,sativa,4.6,"Happy,Euphoric,Uplifted,Focused,Energetic","Strawberry,Sweet,Mango"
1953,Strawberry Milkshake,hybrid,4.4,"Happy,Relaxed,Uplifted,Tingly,Euphoric","Sweet,Strawberry,Berry"
1954,Strawberry Og,hybrid,4.2,"Happy,Relaxed,Euphoric,Hungry,Creative","Strawberry,Diesel,Spicy/Herbal"
1955,Strawberry Satori,sativa,4.5,"Uplifted,Creative,Relaxed,Happy,Energetic","Strawberry,Berry,Pungent"
1956,Sublime,sativa,4.2,"Uplifted,Happy,Focused,Euphoric,Talkative","Flowery,Pine,Earthy"
1957,Sugar Black Rose,indica,4.5,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Rose,Sweet,Flowery"
1958,Sugar Calyx,hybrid,None,None,None
1959,Sugar Cookie,hybrid,4.3,"Relaxed,Happy,Sleepy,Euphoric,Giggly","Sweet,Earthy,Tar"
1960,Sugar Kush,indica,4.1,"Relaxed,Hungry,Sleepy,Happy,Euphoric","Sweet,Woody,Pine"
1961,Sugar Mama,indica,4.8,"Euphoric,Relaxed,Happy,Focused,Uplifted","Sweet,Tropical,Blueberry"
1962,Sugar Pine,hybrid,None,None,None
1963,Sugar Plum,sativa,4.5,"Euphoric,Happy,Relaxed,Uplifted,Creative","Sweet,Plum,Tropical"
1964,Sugar Punch,hybrid,4.8,"Hungry,Happy,Giggly,Aroused,Uplifted","Skunk,Sweet,Woody"
1965,Sugar Shack,hybrid,4.6,"Relaxed,Happy,Uplifted,Energetic,Talkative","Earthy,Pine,Sweet"
1966,Suicide Girl,hybrid,4.8,"Talkative,Euphoric,Uplifted,Relaxed,Tingly","Violet,Sweet,Citrus"
1967,Summertime Squeeze,sativa,4.9,"Creative,Happy,Talkative,Giggly,Aroused","Tea,Earthy,Spicy/Herbal"
1968,Sumo Grande,sativa,4.5,"Focused,Hungry,Creative,Talkative,Uplifted","Citrus,Sweet,Pine"
1969,Sumo Og Kush,indica,4.3,"Hungry,Relaxed,Talkative,Uplifted,Focused","Earthy,Pine,Diesel"
1970,Sun Ra,sativa,4.7,"Happy,Uplifted,Euphoric,Focused,Tingly","Citrus,Sweet,Earthy"
1971,Sunburn,sativa,4.6,"Creative,Euphoric,Uplifted,Happy,Energetic","Citrus,Earthy,Sweet"
1972,Sunlight Skunk,hybrid,None,None,None
1973,Sunset Haze,hybrid,4.2,"Relaxed,Creative,Aroused,Sleepy,Uplifted","Sweet,Citrus,Flowery"
1974,Sunset Sherbert,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Citrus,Earthy"
1975,Sunshine,sativa,4.7,"Happy,Uplifted,Energetic,Creative,Focused","Citrus,Sweet,Tea"
1976,Sunshine 4,hybrid,4.8,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Spicy/Herbal,Citrus,Sweet"
1977,Sunshine Daydream,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly","Pungent,Diesel,Flowery"
1978,Supa Don,sativa,4.5,"Uplifted,Creative,Energetic,Focused,Happy","Spicy/Herbal,Sweet,Apricot"
1979,Super Chronic,indica,4.8,"Happy,Relaxed,Sleepy,Euphoric,Focused","Earthy,Pine,Minty"
1980,Super Blue Dream,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Sweet,Blueberry,Tea"
1981,Super Bud,indica,4.1,"Relaxed,Giggly,Sleepy,Happy,Creative","Citrus,Mint,Flowery"
1982,Super Cat Piss,sativa,4,"Euphoric,Happy,Uplifted,Tingly,Creative","Coffee,Lemon"
1983,Super Cheese,indica,4.5,"Tingly,Euphoric,Relaxed,Happy,Sleepy","Cheese,Blue,Cheese,Earthy"
1984,Super G,sativa,4.5,"Creative,Tingly,Uplifted,Energetic,Happy","Earthy,Pungent,Pine"
1985,Super Green Crack,sativa,4.5,"Happy,Giggly,Energetic,Focused,Euphoric","Earthy,Flowery,Pungent"
1986,Super Jack,sativa,4.5,"Happy,Energetic,Uplifted,Talkative,Focused","Sweet,Pungent,Skunk"
1987,Super Kush,indica,4.2,"Relaxed,Happy,Euphoric,Giggly,Aroused","Earthy,Minty,Flowery"
1988,Super Lemon Haze,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Focused","Lemon,Citrus,Sweet"
1989,Super Lemon Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Creative","Lemon,Citrus,Earthy"
1990,Super Silver Haze,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Relaxed","Citrus,Earthy,Sweet"
1991,Super Silver Lights,hybrid,4.5,"Happy,Uplifted,Creative,Euphoric,Giggly","Flowery,Sweet,Pungent"
1992,Super Skunk,indica,4.2,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Skunk,Earthy,Sweet"
1993,Super Snow Dog,sativa,4.5,"Uplifted,Happy,Euphoric,Relaxed,Focused","Citrus,Flowery,Earthy"
